Date,first,seen,Duration,IP,Addr,Flows,Packets,Bytes,pps,bps,bpp
2005-08-30,06:45:50.990,1147.332,125.67.123.234,234366,458197,30.2,M,399,221164,69
2005-08-30,06:45:02.928,1192.835,94.180.151.203,115841,428885,42.6,M,359,299577,104
2005-08-30,06:45:07.728,1190.594,125.248.33.146,28218,73178,7.8,M,61,55234,112
2005-08-30,06:59:24.563,330.110,9.209.28.173,27916,48086,2.2,M,145,55931,47
2005-08-30,06:59:48.111,310.212,130.195.23.210,23467,105779,7.9,M,340,212311,77
2005-08-30,06:59:53.362,304.960,219.182.16.57,22938,89563,4.0,M,293,109251,46
2005-08-30,06:59:54.066,304.257,255.93.216.43,22769,102496,7.6,M,336,210205,77
2005-08-30,06:59:16.431,341.892,138.5.122.251,21840,132119,45.3,M,386,1.1,M,359
2005-08-30,06:46:33.104,1102.656,129.251.42.241,20305,74505,5.8,M,67,43757,80
2005-08-30,06:47:07.272,1068.360,131.250.225.247,14452,36714,3.1,M,34,24078,87

